id,system,locus,goal,budget,arm,world,conforming,nominal,reference_target,retest,recovered,metric,mae,coverage,width,quality_pass,retest_purity
C-W02-B24-E-Opaque,C,E,delivery,24,Opaque,C-W02,True,0.8,noiseless_pre_sampling,0.5502532720565796,,crystal_size,0.03042999945291951,0.9166666666666666,0.12416666666666666,0,
C-W02-B24-E-Opaque,C,E,delivery,24,Opaque,C-W02,True,0.8,noiseless_pre_sampling,0.5502532720565796,,crystal_yield,0.11634492350248803,0.4166666666666667,0.24083333333333334,0,
C-W02-B12-E-Aligned,C,E,delivery,12,Aligned,C-W02,True,0.8,noiseless_pre_sampling,0.5846945643424988,,crystal_fines_fraction,0.25267769272206225,0.5,0.27666666666666667,1,
C-W02-B12-E-Aligned,C,E,delivery,12,Aligned,C-W02,True,0.8,noiseless_pre_sampling,0.5846945643424988,,crystal_purity,0.03515656929239181,0.9166666666666666,0.11416666666666665,1,
C-W02-B12-E-Aligned,C,E,delivery,12,Aligned,C-W02,True,0.8,noiseless_pre_sampling,0.5846945643424988,,crystal_size,0.041660286603241135,0.8333333333333334,0.11,1,
C-W02-B12-E-Aligned,C,E,delivery,12,Aligned,C-W02,True,0.8,noiseless_pre_sampling,0.5846945643424988,,crystal_yield,0.04015630576676812,0.9166666666666666,0.2725,1,
C-W02-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W02,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_fines_fraction,0.3794912297993731,0.5,0.4633333333333334,1,
C-W02-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W02,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_purity,0.04265656929239181,0.75,0.12333333333333334,1,
C-W02-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W02,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_size,0.09916028660324112,0.3333333333333333,0.19666666666666666,1,
C-W02-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W02,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_yield,0.17649450100584205,0.3333333333333333,0.27458333333333335,1,
C-W02-B12-E-Opaque,C,E,delivery,12,Opaque,C-W02,False,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_fines_fraction,0.37833626018319877,0.25,0.3625,1,
C-W02-B12-E-Opaque,C,E,delivery,12,Opaque,C-W02,False,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_purity,0.01432323595905848,0.9166666666666666,0.0880833333333333,1,
C-W02-B12-E-Opaque,C,E,delivery,12,Opaque,C-W02,False,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_size,0.17666028660324115,0.25,0.24666666666666667,1,
C-W02-B12-E-Opaque,C,E,delivery,12,Opaque,C-W02,False,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_yield,0.3813063949211257,0.16666666666666666,0.259,1,
C-W03-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.5393956899642944,,crystal_fines_fraction,0.2945378487858927,0.4166666666666667,0.24666666666666667,1,
C-W03-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.5393956899642944,,crystal_purity,0.08709582857158808,0.16666666666666666,0.1433333333333333,1,
C-W03-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.5393956899642944,,crystal_size,0.024528176707569533,0.8333333333333334,0.08283333333333333,1,
C-W03-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.5393956899642944,,crystal_yield,0.0547456547352344,0.8333333333333334,0.21416666666666664,1,
C-W03-B12-E-Opaque,C,E,delivery,12,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.47891488671302795,,crystal_fines_fraction,0.4571838070079078,0.0,0.27999999999999997,1,
C-W03-B12-E-Opaque,C,E,delivery,12,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.47891488671302795,,crystal_purity,0.00590793581992959,1.0,0.05741666666666668,1,
C-W03-B12-E-Opaque,C,E,delivery,12,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.47891488671302795,,crystal_size,0.09448436583478936,0.3333333333333333,0.17250000000000001,1,
C-W03-B12-E-Opaque,C,E,delivery,12,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.47891488671302795,,crystal_yield,0.06159647514240799,0.8333333333333334,0.17416666666666666,1,
C-W03-B12-E-Aligned,C,E,delivery,12,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.48992788791656494,,crystal_fines_fraction,0.225371182119226,0.5833333333333334,0.28,1,
C-W03-B12-E-Aligned,C,E,delivery,12,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.48992788791656494,,crystal_purity,0.033762495238254774,0.8333333333333334,0.09916666666666667,1,
C-W03-B12-E-Aligned,C,E,delivery,12,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.48992788791656494,,crystal_size,0.07401839879782503,0.4166666666666667,0.15625,1,
C-W03-B12-E-Aligned,C,E,delivery,12,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.48992788791656494,,crystal_yield,0.040906950686184086,0.8333333333333334,0.16916666666666666,1,
C-W03-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.31727439165115356,,crystal_fines_fraction,0.35388008949525923,0.4166666666666667,0.3725,1,
C-W03-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.31727439165115356,,crystal_purity,0.009595828571588092,1.0,0.07916666666666662,1,
C-W03-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.31727439165115356,,crystal_size,0.0699491122533999,0.6666666666666666,0.17316666666666666,1,
C-W03-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W03,True,0.8,noiseless_pre_sampling,0.31727439165115356,,crystal_yield,0.0604657648898729,0.8333333333333334,0.2520833333333333,1,
C-W03-B24-E-Opaque,C,E,delivery,24,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.4233444035053253,,crystal_fines_fraction,0.28577363791099286,0.4166666666666667,0.38999999999999996,1,
C-W03-B24-E-Opaque,C,E,delivery,24,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.4233444035053253,,crystal_purity,0.02887779145776695,0.8333333333333334,0.1083333333333333,1,
C-W03-B24-E-Opaque,C,E,delivery,24,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.4233444035053253,,crystal_size,0.028601302385732028,0.75,0.09583333333333333,1,
C-W03-B24-E-Opaque,C,E,delivery,24,Opaque,C-W03,True,0.8,noiseless_pre_sampling,0.4233444035053253,,crystal_yield,0.0871435918491909,0.75,0.22916666666666666,1,
C-W03-B24-E-Aligned,C,E,delivery,24,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.4572509527206421,,crystal_fines_fraction,0.2839914056603944,0.5,0.305,1,
C-W03-B24-E-Aligned,C,E,delivery,24,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.4572509527206421,,crystal_purity,0.06459582857158806,0.6666666666666666,0.16416666666666666,1,
C-W03-B24-E-Aligned,C,E,delivery,24,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.4572509527206421,,crystal_size,0.10615103250145604,0.25,0.17041666666666666,1,
C-W03-B24-E-Aligned,C,E,delivery,24,Aligned,C-W03,True,0.8,noiseless_pre_sampling,0.4572509527206421,,crystal_yield,0.11797692518252424,0.4166666666666667,0.24400000000000002,1,
C-W04-B24-E-Opaque,C,E,delivery,24,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_fines_fraction,0.3319746516528496,0.4166666666666667,0.37083333333333335,1,
C-W04-B24-E-Opaque,C,E,delivery,24,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_purity,0.010937463966099589,1.0,0.07616666666666669,1,
C-W04-B24-E-Opaque,C,E,delivery,24,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_size,0.17244648882280852,0.3333333333333333,0.25333333333333335,1,
C-W04-B24-E-Opaque,C,E,delivery,24,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_yield,0.06985820868607119,0.75,0.22108333333333333,1,
C-W04-B24-E-Aligned,C,E,delivery,24,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.41210493445396423,,crystal_fines_fraction,0.23950229100791173,0.25,0.3325,1,
C-W04-B24-E-Aligned,C,E,delivery,24,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.41210493445396423,,crystal_purity,0.01630575854052657,1.0,0.08124999999999998,1,
C-W04-B24-E-Aligned,C,E,delivery,24,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.41210493445396423,,crystal_size,0.014674039167686038,0.9166666666666666,0.07016666666666667,1,
C-W04-B24-E-Aligned,C,E,delivery,24,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.41210493445396423,,crystal_yield,0.05520360460569945,0.9166666666666666,0.18083333333333332,1,
C-W04-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_fines_fraction,0.34795634562215194,0.4166666666666667,0.35833333333333334,1,
C-W04-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_purity,0.08001327696848727,0.3333333333333333,0.1558333333333333,1,
C-W04-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_size,0.1025218247152857,0.75,0.18916666666666668,1,
C-W04-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.0009122402989305556,,crystal_yield,0.060472482950404055,0.8333333333333334,0.21875,1,
C-W04-B12-E-Opaque,C,E,delivery,12,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.45127740502357483,,crystal_fines_fraction,0.2337896789554853,0.3333333333333333,0.31416666666666665,1,
C-W04-B12-E-Opaque,C,E,delivery,12,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.45127740502357483,,crystal_purity,0.007299288416987589,1.0,0.05283333333333335,1,
C-W04-B12-E-Opaque,C,E,delivery,12,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.45127740502357483,,crystal_size,0.031518066028985485,1.0,0.09833333333333333,1,
C-W04-B12-E-Opaque,C,E,delivery,12,Opaque,C-W04,True,0.8,noiseless_pre_sampling,0.45127740502357483,,crystal_yield,0.1396483096175683,0.25,0.16833333333333333,1,
C-W04-B12-E-Aligned,C,E,delivery,12,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.46395403146743774,,crystal_fines_fraction,0.30795634562215196,0.4166666666666667,0.34249999999999997,0,
C-W04-B12-E-Aligned,C,E,delivery,12,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.46395403146743774,,crystal_purity,0.07001327696848725,0.16666666666666666,0.12749999999999997,0,
C-W04-B12-E-Aligned,C,E,delivery,12,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.46395403146743774,,crystal_size,0.05252182471528569,0.5,0.10833333333333334,0,
C-W04-B12-E-Aligned,C,E,delivery,12,Aligned,C-W04,True,0.8,noiseless_pre_sampling,0.46395403146743774,,crystal_yield,0.060394215282369317,0.6666666666666666,0.15583333333333332,0,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_fines_fraction,0.27782828339773996,0.4166666666666667,0.35000000000000003,1,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_purity,0.1070966103018206,0.16666666666666666,0.1875,1,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_size,0.028771824715285693,0.75,0.11083333333333334,1,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_yield,0.0647231885101606,0.8333333333333334,0.1775,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_fines_fraction,0.49554016786757865,0.0,0.3566666666666667,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_purity,0.011233569860902145,1.0,0.09041666666666666,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_size,0.1142912110049877,0.25,0.22833333333333336,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_yield,0.11527696677893468,0.75,0.24250000000000002,1,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_fines_fraction,0.3072068345342453,0.5,0.3566666666666667,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_purity,0.11733044883320133,0.0,0.17499999999999996,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_size,0.18887454433832104,0.08333333333333333,0.26166666666666666,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_yield,0.09333212096072756,0.6666666666666666,0.1729166666666667,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_fines_fraction,0.3355401678675787,0.25,0.3408333333333333,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_purity,0.006509769623227117,1.0,0.059000000000000025,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_size,0.05671888595330369,0.25,0.10416666666666667,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_yield,0.14863883591679258,0.3333333333333333,0.20166666666666666,0,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_fines_fraction,0.313930922261704,0.3333333333333333,0.43083333333333335,1,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_purity,0.06483044883320131,0.25,0.1770833333333333,1,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_size,0.027135552619970357,0.8333333333333334,0.11166666666666668,1,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_yield,0.05933212096072755,0.9166666666666666,0.24033333333333337,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_fines_fraction,0.262935839495325,0.3333333333333333,0.28250000000000003,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_purity,0.03133044883320133,0.5833333333333334,0.08799999999999997,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_size,0.043707877671654356,0.6666666666666666,0.09100000000000001,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_yield,0.0815442139550638,0.4166666666666667,0.16158333333333333,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_fines_fraction,0.20970683453424532,0.4166666666666667,0.3225,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_purity,0.011040099927469469,1.0,0.06916666666666668,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_size,0.009357785239309508,1.0,0.07458333333333333,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_yield,0.0383891991177219,0.8333333333333334,0.16,1,
P-W01-B12-E-Opaque,P,E,delivery,12,Opaque,P-W01,True,0.8,single_seeded_observation,0.008573850616812706,,purity,0.1895542593797048,0.5,0.46166666666666667,0,0.7194051146507263
P-W01-B12-E-Opaque,P,E,delivery,12,Opaque,P-W01,True,0.8,single_seeded_observation,0.008573850616812706,,recovery,0.04491417302240928,0.5,0.09075833333333333,0,0.7194051146507263
P-W01-B12-E-Aligned,P,E,delivery,12,Aligned,P-W01,True,0.8,single_seeded_observation,0.00872951652854681,,purity,0.19197821696599324,0.4166666666666667,0.4041666666666667,0,0.7352002859115601
P-W01-B12-E-Aligned,P,E,delivery,12,Aligned,P-W01,True,0.8,single_seeded_observation,0.00872951652854681,,recovery,0.048982285377879936,0.5,0.06983333333333333,0,0.7352002859115601
P-W01-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W01,True,0.8,single_seeded_observation,0.08255227655172348,,purity,0.13038759271303813,0.8333333333333334,0.39666666666666667,0,0.6331744194030762
P-W01-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W01,True,0.8,single_seeded_observation,0.08255227655172348,,recovery,0.026211617507040503,1,0.18566666666666667,0,0.6331744194030762
P-W02-B12-E-Opaque,P,E,delivery,12,Opaque,P-W02,True,0.8,single_seeded_observation,0.010216018185019493,,purity,0.15905755321184792,0.4166666666666667,0.39916666666666667,0,0.7991536259651184
P-W02-B12-E-Opaque,P,E,delivery,12,Opaque,P-W02,True,0.8,single_seeded_observation,0.010216018185019493,,recovery,0.09348062525937954,0.3333333333333333,0.09408333333333332,0,0.7991536259651184
P-W02-B12-E-Aligned,P,E,delivery,12,Aligned,P-W02,True,0.8,single_seeded_observation,0.051890917122364044,,purity,0.14495760122934978,0.8333333333333334,0.32166666666666666,1,0.8225493431091309
P-W02-B12-E-Aligned,P,E,delivery,12,Aligned,P-W02,True,0.8,single_seeded_observation,0.051890917122364044,,recovery,0.06481395859271288,0.6666666666666666,0.13741666666666666,1,0.8225493431091309
P-W02-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W02,True,0.8,single_seeded_observation,0.232249453663826,,purity,0.26246402343114217,0.25,0.40499999999999997,0,0.6092846393585205
P-W02-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W02,True,0.8,single_seeded_observation,0.232249453663826,,recovery,0.12793375457574924,0.08333333333333333,0.058750000000000004,0,0.6092846393585205
P-W03-B12-E-Opaque,P,E,delivery,12,Opaque,P-W03,True,0.8,single_seeded_observation,0.12181862443685532,,purity,0.14632764493425685,0.8333333333333334,0.4166666666666667,0,0.6461834907531738
P-W03-B12-E-Opaque,P,E,delivery,12,Opaque,P-W03,True,0.8,single_seeded_observation,0.12181862443685532,,recovery,0.053219839854786795,0.9166666666666666,0.15358333333333332,0,0.6461834907531738
P-W03-B12-E-Aligned,P,E,delivery,12,Aligned,P-W03,True,0.8,single_seeded_observation,0.001699217245914042,,purity,0.1590579846998056,0.5833333333333334,0.29083333333333333,1,0.8064388632774353
P-W03-B12-E-Aligned,P,E,delivery,12,Aligned,P-W03,True,0.8,single_seeded_observation,0.001699217245914042,,recovery,0.09604585926855604,0.08333333333333333,0.02825,1,0.8064388632774353
P-W03-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W03,True,0.8,single_seeded_observation,0.3809884786605835,,purity,0.3276693561176459,0.4166666666666667,0.4683333333333333,0,0.5723380446434021
P-W03-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W03,True,0.8,single_seeded_observation,0.3809884786605835,,recovery,0.07808752593522271,0.5833333333333334,0.09941666666666667,0,0.5723380446434021
P-W04-B12-E-Opaque,P,E,delivery,12,Opaque,P-W04,True,0.8,single_seeded_observation,0.24625951051712036,,purity,0.3357968089481195,0.4166666666666667,0.3208333333333333,0,0.6154771447181702
P-W04-B12-E-Opaque,P,E,delivery,12,Opaque,P-W04,True,0.8,single_seeded_observation,0.24625951051712036,,recovery,0.04345577077443401,0.5833333333333334,0.07375000000000001,0,0.6154771447181702
P-W04-B12-E-Aligned,P,E,delivery,12,Aligned,P-W04,True,0.8,single_seeded_observation,0.09598319977521896,,purity,0.2523264737427235,0.3333333333333333,0.4558333333333333,0,0.5851725339889526
P-W04-B12-E-Aligned,P,E,delivery,12,Aligned,P-W04,True,0.8,single_seeded_observation,0.09598319977521896,,recovery,0.04495577077443401,0.8333333333333334,0.13191666666666665,0,0.5851725339889526
P-W04-B12-E-MisIndexed,P,E,delivery,12,MisIndexed,P-W04,True,0.8,single_seeded_observation,0.44824784994125366,,purity,0.4015770299732685,0.4166666666666667,0.42666666666666664,0,0.5873496532440186
